evalue	bitscore	pident	length	qlen	slen	q_union	s_union	qcov	scov	coverage	coverage_type	qseqid	sseqid	task	db	task_used
223.0	16.4	100.0	8.0	131.0	396.0	52	39	0.3969465648854962	0.09848484848484848	0.3969465648854962	weak	CL00001	1992_De_Pace_Molecular_and_chromosomal_characterization.pdf_p380	blastn-short	oligo	blastn-short
223.0	16.4	100.0	8.0	131.0	419.0	28	31	0.21374045801526717	0.07398568019093078	0.21374045801526717	weak	CL00001	1994_Bournival_Isolation_of_a_new_species-specific_repetitive_sequence_from_1-E6HcII-1	blastn-short	oligo	blastn-short
223.0	16.4	100.0	8.0	131.0	396.0	52	39	0.3969465648854962	0.09848484848484848	0.3969465648854962	weak	CL00001	1994_Frediani_Redundancy_Modulation.pdf_396-bp_repeat	blastn-short	oligo	blastn-short
223.0	16.4	100.0	8.0	131.0	292.0	20	24	0.15267175572519084	0.0821917808219178	0.15267175572519084	weak	CL00001	1995_Li_Isolation,_characterization_and_application.pdf_pHv62	blastn-short	oligo	blastn-short
882.0	14.4	100.0	7.0	131.0	382.0	21	21	0.16030534351145037	0.0549738219895288	0.16030534351145037	weak	CL00001	1996_Vershinin_Molecular_Diversification_pSc200	blastn-short	oligo	blastn-short
14.0	20.3	100.0	10.0	131.0	1096.0	59	87	0.45038167938931295	0.07937956204379562	0.45038167938931295	weak	CL00001	1997_Galasso_Genomic_Organization_And.pdf_pDbKB45	blastn-short	oligo	blastn-short
882.0	14.4	100.0	7.0	131.0	400.0	25	35	0.19083969465648856	0.0875	0.19083969465648856	weak	CL00001	1997_Galasso_Genomic_Organization_And.pdf_pDbKB49	blastn-short	oligo	blastn-short
882.0	14.4	100.0	7.0	131.0	382.0	21	21	0.16030534351145037	0.0549738219895288	0.16030534351145037	weak	CL00001	1997_Galasso_Genomic_Organization_And.pdf_pSc200	blastn-short	oligo	blastn-short
223.0	16.4	100.0	8.0	131.0	292.0	20	24	0.15267175572519084	0.0821917808219178	0.15267175572519084	weak	CL00001	1999_Uslu_Characterization_of_Dasypyrum_Villosum_(L.)_Candargy.pdf_pHv62	blastn-short	oligo	blastn-short
3.37e-31	125.0	87.023	131.0	131.0	504.0	131	459	1.0	0.9107142857142857	1.0	near-full	CL00001	1999_Uslu_Characterization_of_Dasypyrum_Villosum_(L.)_Candargy.pdf_pSc119.2	blastn-short	oligo	blastn-short
3.37e-31	125.0	87.023	131.0	131.0	504.0	131	459	1.0	0.9107142857142857	1.0	near-full	CL00001	2003_Brasiliero-Vidal_Chromosome_characterization_in_Thinopyrum_pSc119.2	blastn-short	oligo	blastn-short
223.0	16.4	100.0	8.0	131.0	383.0	30	30	0.22900763358778625	0.0783289817232376	0.22900763358778625	weak	CL00001	2008_Guo_Identification_of_Wheat_Chromosomes.pdf_pDvTU383	blastn-short	oligo	blastn-short
223.0	16.4	100.0	8.0	131.0	292.0	20	24	0.15267175572519084	0.0821917808219178	0.15267175572519084	weak	CL00001	2008_Wilson_PRODUCTION_OF_WHEAT-HAYNALDIA_VILLOSA.pdf_pHv62	blastn-short	oligo	blastn-short
223.0	16.4	100.0	8.0	131.0	383.0	30	30	0.22900763358778625	0.0783289817232376	0.22900763358778625	weak	CL00001	2009_Yuan_Centromeric_distribution_of_350-family.pdf_pDvTU383	blastn-short	oligo	blastn-short
223.0	16.4	100.0	8.0	131.0	68.0	8	8	0.061068702290076333	0.11764705882352941	0.11764705882352941	weak	CL00001	2010_Wu_Cloning_And_Characterization_pAc05	blastn-short	oligo	blastn-short
223.0	16.4	100.0	8.0	131.0	1036.0	60	106	0.4580152671755725	0.10231660231660232	0.4580152671755725	weak	CL00001	2010_Wu_Cloning_And_Characterization_pAx07	blastn-short	oligo	blastn-short
57.0	18.3	100.0	9.0	131.0	817.0	42	59	0.32061068702290074	0.07221542227662178	0.32061068702290074	weak	CL00001	2010_Wu_Cloning_And_Characterization_pAx11	blastn-short	oligo	blastn-short
882.0	14.4	100.0	7.0	131.0	70.0	7	7	0.05343511450381679	0.1	0.1	weak	CL00001	2011_Dou_Physical_mapping_of_repetitive_sequences_primers_by_Fukui_et_al._(1994)	blastn-short	oligo	blastn-short
3.37e-31	125.0	87.023	131.0	131.0	504.0	131	459	1.0	0.9107142857142857	1.0	near-full	CL00001	2011_Georgieva_Molecular_cytogenetic_characterization_pSc119.2	blastn-short	oligo	blastn-short
223.0	16.4	100.0	8.0	131.0	491.0	72	59	0.549618320610687	0.12016293279022404	0.549618320610687	weak	CL00001	2011_Tang_A_new_long_terminal_repeat_pMD232-500	blastn-short	oligo	blastn-short
882.0	14.4	100.0	7.0	131.0	70.0	7	7	0.05343511450381679	0.1	0.1	weak	CL00001	2012_Dou_Characterization_of_alien_chromosomes_primers_by_Fukui_et_al._(1994)	blastn-short	oligo	blastn-short
223.0	16.4	100.0	8.0	131.0	292.0	20	24	0.15267175572519084	0.0821917808219178	0.15267175572519084	weak	CL00001	2012_Grosso_Flow_Sorting_and_Molecular_Cytogenetic_pHv62	blastn-short	oligo	blastn-short
3.37e-31	125.0	87.023	131.0	131.0	504.0	131	459	1.0	0.9107142857142857	1.0	near-full	CL00001	2012_Grosso_Flow_Sorting_and_Molecular_Cytogenetic_pSc119.2	blastn-short	oligo	blastn-short
3.37e-31	125.0	87.023	131.0	131.0	504.0	131	459	1.0	0.9107142857142857	1.0	near-full	CL00001	2012_Linc_A_FISH_Karyotype_to_Study_Chromosome_pSc119.2	blastn-short	oligo	blastn-short
3.37e-31	125.0	87.023	131.0	131.0	504.0	131	459	1.0	0.9107142857142857	1.0	near-full	CL00001	2012_Tomas_Chromosomal_characterization_in_native_pSc119.2	blastn-short	oligo	blastn-short
882.0	14.4	100.0	7.0	131.0	70.0	7	7	0.05343511450381679	0.1	0.1	weak	CL00001	2013_Dou_Genome_analysis_of_seven_species_primers_by_Fukui_et_al._(1994)	blastn-short	oligo	blastn-short
223.0	16.4	91.667	12.0	131.0	694.0	53	82	0.40458015267175573	0.11815561959654179	0.40458015267175573	weak	CL00001	2013_Gong_Development_and_utilization_of_new_sequenced_4I694	blastn-short	oligo	blastn-short
882.0	14.4	100.0	7.0	131.0	70.0	7	7	0.05343511450381679	0.1	0.1	weak	CL00001	2013_Mahelka_Contrasting_Patterns_of_Evolution_primers_by_Fukui_et_al._(1994)	blastn-short	oligo	blastn-short
3.37e-31	125.0	87.023	131.0	131.0	504.0	131	459	1.0	0.9107142857142857	1.0	near-full	CL00001	2013_Zhang_Distribution_Of_Highly_Repeated.pdf_pSc119.2	blastn-short	oligo	blastn-short
882.0	14.4	100.0	7.0	131.0	1793.0	54	112	0.4122137404580153	0.06246514221974345	0.4122137404580153	weak	CL00001	2015_Han_Degenerate_Oligonucleotide_pAcPR1	blastn-short	oligo	blastn-short
3.37e-31	125.0	87.023	131.0	131.0	504.0	131	459	1.0	0.9107142857142857	1.0	near-full	CL00001	2015_Salina_A_Thinopyrum_intermedium_chromosome_pSc119.2	blastn-short	oligo	blastn-short
3.6	22.3	100.0	11.0	131.0	871.0	78	98	0.5954198473282443	0.11251435132032148	0.5954198473282443	weak	CL00001	2015_Ye_The_Effects_Of_Chromosome_6P_pAcCR1	blastn-short	oligo	blastn-short
1.6e-08	50.1	91.892	37.0	131.0	45.0	37	37	0.2824427480916031	0.8222222222222222	0.8222222222222222	composite	CL00001	2015_Zhang_Identification_of_Novel_Chromosomal_Aberrations_oligo-pSc119.2-1_by_Tang_et_al._(2014)	blastn-short	oligo	blastn-short
1.6e-08	50.1	91.892	37.0	131.0	45.0	37	37	0.2824427480916031	0.8222222222222222	0.8222222222222222	composite	CL00001	2015_Zhang_Molecular_and_Cytogenetic_Characterizatio_oligo-pSc119.2_by_Tang_et_al._(2014)	blastn-short	oligo	blastn-short
3.37e-31	125.0	87.023	131.0	131.0	504.0	131	459	1.0	0.9107142857142857	1.0	near-full	CL00001	2016_Kruppa_McGISH_identification_and_phenotypic_description_of_leaf_rust_pSc119.2	blastn-short	oligo	blastn-short
223.0	16.4	100.0	8.0	131.0	292.0	20	24	0.15267175572519084	0.0821917808219178	0.15267175572519084	weak	CL00001	2016_Li_Molecular_cytogenetic_characterization_of.pdf_oligo-pHv62-1	blastn-short	oligo	blastn-short
1.6e-08	50.1	91.892	37.0	131.0	45.0	37	37	0.2824427480916031	0.8222222222222222	0.8222222222222222	composite	CL00001	2016_Li_Molecular_cytogenetic_characterization_of.pdf_oligo-pSc119.2_by_Tang_et_al._(2014)	blastn-short	oligo	blastn-short
223.0	16.4	100.0	8.0	131.0	58.0	8	8	0.061068702290076333	0.13793103448275862	0.13793103448275862	weak	CL00001	2016_Li_New_molecular_markers_and_cytogenetic_probes_oligo-pSt122	blastn-short	oligo	blastn-short
3.37e-31	125.0	87.023	131.0	131.0	504.0	131	459	1.0	0.9107142857142857	1.0	near-full	CL00001	2016_Patokar_Molecular_Cytogenetic_pSc119.2	blastn-short	oligo	blastn-short
882.0	14.4	100.0	7.0	131.0	31.0	7	7	0.05343511450381679	0.22580645161290322	0.22580645161290322	weak	CL00001	2017_Du_Development_of_oligonucleotides_a_DP4J31304	blastn-short	oligo	blastn-short
3.6	22.3	100.0	11.0	131.0	871.0	78	98	0.5954198473282443	0.11251435132032148	0.5954198473282443	weak	CL00001	2017_Han_Isolation_And_Application_pAcCR1	blastn-short	oligo	blastn-short
57.0	18.3	100.0	9.0	131.0	1025.0	42	51	0.32061068702290074	0.04975609756097561	0.32061068702290074	weak	CL00001	2017_Han_Isolation_And_Application_pAcP43	blastn-short	oligo	blastn-short
57.0	18.3	100.0	9.0	131.0	1746.0	41	101	0.31297709923664124	0.05784650630011455	0.31297709923664124	weak	CL00001	2017_Han_Isolation_And_Application_pAcPR10	blastn-short	oligo	blastn-short
14.0	20.3	100.0	10.0	131.0	1704.0	95	131	0.7251908396946565	0.07687793427230047	0.7251908396946565	partial	CL00001	2017_Han_Isolation_And_Application_pAcPR2	blastn-short	oligo	blastn-short
223.0	16.4	100.0	8.0	131.0	1192.0	22	22	0.16793893129770993	0.018456375838926176	0.16793893129770993	weak	CL00001	2017_Han_Isolation_And_Application_pAcPR3	blastn-short	oligo	blastn-short
223.0	16.4	100.0	8.0	131.0	1407.0	81	117	0.6183206106870229	0.08315565031982942	0.6183206106870229	partial	CL00001	2017_Han_Isolation_And_Application_pAcPR4	blastn-short	oligo	blastn-short
223.0	16.4	100.0	8.0	131.0	728.0	9	16	0.06870229007633588	0.02197802197802198	0.06870229007633588	weak	CL00001	2017_Han_Isolation_And_Application_pAcPR5	blastn-short	oligo	blastn-short
223.0	16.4	100.0	8.0	131.0	537.0	31	37	0.2366412213740458	0.06890130353817504	0.2366412213740458	weak	CL00001	2017_Han_Isolation_And_Application_pAcPR7	blastn-short	oligo	blastn-short
882.0	14.4	100.0	7.0	131.0	822.0	21	21	0.16030534351145037	0.025547445255474453	0.16030534351145037	weak	CL00001	2017_Han_Isolation_And_Application_pAcPR9	blastn-short	oligo	blastn-short
223.0	16.4	100.0	8.0	131.0	1086.0	49	79	0.37404580152671757	0.072744014732965	0.37404580152671757	weak	CL00001	2017_Han_Isolation_And_Application_pAcTR1	blastn-short	oligo	blastn-short
223.0	16.4	100.0	8.0	131.0	1268.0	41	50	0.31297709923664124	0.03943217665615142	0.31297709923664124	weak	CL00001	2017_Han_Isolation_And_Application_pAcTR2	blastn-short	oligo	blastn-short
882.0	14.4	100.0	7.0	131.0	962.0	21	28	0.16030534351145037	0.029106029106029108	0.16030534351145037	weak	CL00001	2017_Han_Isolation_And_Application_pAcTRT1	blastn-short	oligo	blastn-short
57.0	18.3	100.0	9.0	131.0	1742.0	78	111	0.5954198473282443	0.06371986222732491	0.5954198473282443	weak	CL00001	2017_Han_Isolation_And_Application_pAcpCR1	blastn-short	oligo	blastn-short
3.6	22.3	100.0	11.0	131.0	1585.0	84	150	0.6412213740458015	0.0946372239747634	0.6412213740458015	partial	CL00001	2017_Han_Isolation_And_Application_pAcpCR2	blastn-short	oligo	blastn-short
3.37e-31	125.0	87.023	131.0	131.0	504.0	131	459	1.0	0.9107142857142857	1.0	near-full	CL00001	2017_Linc_Molecular_cytogenetic_(FISH)_pSc119.2	blastn-short	oligo	blastn-short
882.0	14.4	100.0	7.0	131.0	70.0	7	7	0.05343511450381679	0.1	0.1	weak	CL00001	2017_Liu_Characterization_of_genome_in_tetraploid_primers_by_Fukui_et_al._(1994)	blastn-short	oligo	blastn-short
882.0	14.4	100.0	7.0	131.0	962.0	21	28	0.16030534351145037	0.029106029106029108	0.16030534351145037	weak	CL00001	2017_Pan_Chromosomal_localization_of_genes_pAcTRT1	blastn-short	oligo	blastn-short
3.6	22.3	100.0	11.0	131.0	1585.0	84	150	0.6412213740458015	0.0946372239747634	0.6412213740458015	partial	CL00001	2017_Pan_Chromosomal_localization_of_genes_pAcpCR2	blastn-short	oligo	blastn-short
3.37e-31	125.0	87.023	131.0	131.0	504.0	131	459	1.0	0.9107142857142857	1.0	near-full	CL00001	2017_Sibikeev_Comparative_Analysis_of_Agropyron_intermedium_(_pSc119.2	blastn-short	oligo	blastn-short
3.37e-31	125.0	87.023	131.0	131.0	504.0	131	459	1.0	0.9107142857142857	1.0	near-full	CL00001	2017_Wang_Development_Of_Intron_pSc119.2	blastn-short	oligo	blastn-short
223.0	16.4	100.0	8.0	131.0	945.0	58	57	0.44274809160305345	0.06031746031746032	0.44274809160305345	weak	CL00001	2017_Wang_St2-80_a_new_FISH_marker_for_St_genome_St2-80	blastn-short	oligo	blastn-short
3.9e-06	42.1	100.0	21.0	131.0	25.0	21	21	0.16030534351145037	0.84	0.84	composite	CL00001	2017_Xiao_Oligonucleotides_and_ND-FISH_oligo-3B117.2	blastn-short	oligo	blastn-short
882.0	14.4	100.0	7.0	131.0	49.0	7	7	0.05343511450381679	0.14285714285714285	0.14285714285714285	weak	CL00001	2017_Xiao_Oligonucleotides_and_ND-FISH_oligo-Ku	blastn-short	oligo	blastn-short
3.37e-31	125.0	87.023	131.0	131.0	504.0	131	459	1.0	0.9107142857142857	1.0	near-full	CL00001	2017_Zhao_Diversification_of_the_P_genome_pSc119.2	blastn-short	oligo	blastn-short
882.0	14.4	100.0	7.0	131.0	70.0	7	7	0.05343511450381679	0.1	0.1	weak	CL00001	2017_Zhao_Diversification_of_the_P_genome_primers_by_Fukui_et_al._(1994)	blastn-short	oligo	blastn-short
882.0	14.4	100.0	7.0	131.0	962.0	21	28	0.16030534351145037	0.029106029106029108	0.16030534351145037	weak	CL00001	2018_Chen_Identification_and_genetic_analysis_of_multiple_P_chromosomes_pAcTRT1	blastn-short	oligo	blastn-short
3.6	22.3	100.0	11.0	131.0	1585.0	84	150	0.6412213740458015	0.0946372239747634	0.6412213740458015	partial	CL00001	2018_Chen_Identification_and_genetic_analysis_of_multiple_P_chromosomes_pAcpCR2	blastn-short	oligo	blastn-short
3.37e-31	125.0	87.023	131.0	131.0	504.0	131	459	1.0	0.9107142857142857	1.0	near-full	CL00001	2018_Grewal_Characterisation_of_Thinopyrum_bessarabicum_pSc119.2	blastn-short	oligo	blastn-short
223.0	16.4	91.667	12.0	131.0	41.0	12	12	0.0916030534351145	0.2926829268292683	0.2926829268292683	weak	CL00001	2018_Kong_Development_and_characterization_of_a_complete_set_RcAfa	blastn-short	oligo	blastn-short
1.6e-08	50.1	91.892	37.0	131.0	45.0	37	37	0.2824427480916031	0.8222222222222222	0.8222222222222222	composite	CL00001	2018_Lang_Precise_identification_of_wheat_oligo-pSc119.2_by_Tang_et_al._(2014)	blastn-short	oligo	blastn-short
223.0	16.4	100.0	8.0	131.0	58.0	8	8	0.061068702290076333	0.13793103448275862	0.13793103448275862	weak	CL00001	2018_Lang_Precise_identification_of_wheat_oligo-pSt122	blastn-short	oligo	blastn-short
223.0	16.4	91.667	12.0	131.0	41.0	12	12	0.0916030534351145	0.2926829268292683	0.2926829268292683	weak	CL00001	2018_Li_FISH-Based_Markers_Enable_oligo-Afa_family	blastn-short	oligo	blastn-short
1.6e-08	50.1	91.892	37.0	131.0	45.0	37	37	0.2824427480916031	0.8222222222222222	0.8222222222222222	composite	CL00001	2018_Li_FISH-Based_Markers_Enable_oligo-pSc119.2_by_Tang_et_al._(2014)	blastn-short	oligo	blastn-short
882.0	14.4	100.0	7.0	131.0	80.0	7	7	0.05343511450381679	0.0875	0.0875	weak	CL00001	2018_Liu_Development_of_Thinopyrum_ponticum_pThp2.31	blastn-short	oligo	blastn-short
882.0	14.4	100.0	7.0	131.0	80.0	15	14	0.11450381679389313	0.175	0.175	weak	CL00001	2018_Liu_Development_of_Thinopyrum_ponticum_pThp3.81	blastn-short	oligo	blastn-short
882.0	14.4	100.0	7.0	131.0	80.0	14	14	0.10687022900763359	0.175	0.175	weak	CL00001	2018_Liu_Development_of_Thinopyrum_ponticum_pThp3.93	blastn-short	oligo	blastn-short
223.0	16.4	100.0	8.0	131.0	190.0	8	8	0.061068702290076333	0.042105263157894736	0.061068702290076333	weak	CL00001	2018_Liu_Physical_Mapping_of_the_blue-grained_gene_pThp12.19	blastn-short	oligo	blastn-short
223.0	16.4	100.0	8.0	131.0	1385.0	57	108	0.4351145038167939	0.0779783393501805	0.4351145038167939	weak	CL00001	2018_Said_The_Agropyron_cristatum_karyotype_ACRI_CL215	blastn-short	oligo	blastn-short
223.0	16.4	100.0	8.0	131.0	2698.0	47	181	0.35877862595419846	0.0670867309117865	0.35877862595419846	weak	CL00001	2018_Said_The_Agropyron_cristatum_karyotype_ACRI_CL78	blastn-short	oligo	blastn-short
57.0	18.3	100.0	9.0	131.0	2933.0	65	191	0.4961832061068702	0.06512103648141834	0.4961832061068702	weak	CL00001	2018_Said_The_Agropyron_cristatum_karyotype_ACRI_CL80	blastn-short	oligo	blastn-short
223.0	16.4	100.0	8.0	131.0	1095.0	77	176	0.5877862595419847	0.16073059360730593	0.5877862595419847	weak	CL00001	2018_Said_The_Agropyron_cristatum_karyotype_ACRI_CL85	blastn-short	oligo	blastn-short
3.37e-31	125.0	87.023	131.0	131.0	504.0	131	459	1.0	0.9107142857142857	1.0	near-full	CL00001	2018_Said_The_Agropyron_cristatum_karyotype_pSc119.2	blastn-short	oligo	blastn-short
882.0	14.4	100.0	7.0	131.0	382.0	21	21	0.16030534351145037	0.0549738219895288	0.16030534351145037	weak	CL00001	2018_Said_The_Agropyron_cristatum_karyotype_pSc200	blastn-short	oligo	blastn-short
882.0	14.4	100.0	7.0	131.0	70.0	7	7	0.05343511450381679	0.1	0.1	weak	CL00001	2018_Said_The_Agropyron_cristatum_karyotype_primers_by_Fukui_et_al._(1994)	blastn-short	oligo	blastn-short
1.6e-08	50.1	91.892	37.0	131.0	45.0	37	37	0.2824427480916031	0.8222222222222222	0.8222222222222222	composite	CL00001	2018_Sun_Construction_and_application_of_oligo-based_pSc119.2oligo_by_Du_et_al._(2017)	blastn-short	oligo	blastn-short
1.6e-08	50.1	91.892	37.0	131.0	45.0	37	37	0.2824427480916031	0.8222222222222222	0.8222222222222222	composite	CL00001	2018_Wang_Characterization_of_New_Wheat-_Dasypyrum_oligo-pSc119.2_by_Tang_et_al._(2014)	blastn-short	oligo	blastn-short
223.0	16.4	100.0	8.0	131.0	292.0	20	24	0.15267175572519084	0.0821917808219178	0.15267175572519084	weak	CL00001	2018_Zhang_Molecular_markers_and_cytogenetics.pdf_oligo-pHv62-1	blastn-short	oligo	blastn-short
1.6e-08	50.1	91.892	37.0	131.0	45.0	37	37	0.2824427480916031	0.8222222222222222	0.8222222222222222	composite	CL00001	2019_Badaeva_Molecular-cytogenetic_analysis_of_diploid_wheatgrass_oligo-pSc119.2_by_Tang_et_al._(2014)	blastn-short	oligo	blastn-short
223.0	16.4	100.0	8.0	131.0	40.0	8	8	0.061068702290076333	0.2	0.2	weak	CL00001	2019_Chen_Cytological_and_molecular_characterization_BSCL1	blastn-short	oligo	blastn-short
882.0	14.4	100.0	7.0	131.0	38.0	7	7	0.05343511450381679	0.18421052631578946	0.18421052631578946	weak	CL00001	2019_Chen_Cytological_and_molecular_characterization_BSCL158	blastn-short	oligo	blastn-short
1.1e-15	73.8	100.0	37.0	131.0	37.0	44	37	0.33587786259541985	1.0	1.0	near-full	CL00001	2019_Chen_Cytological_and_molecular_characterization_BSCL75	blastn-short	oligo	blastn-short
882.0	14.4	100.0	7.0	131.0	962.0	21	28	0.16030534351145037	0.029106029106029108	0.16030534351145037	weak	CL00001	2019_Han_Identification_of_P_genome_chromosomes_pAcTRT1	blastn-short	oligo	blastn-short
3.6	22.3	100.0	11.0	131.0	1585.0	84	150	0.6412213740458015	0.0946372239747634	0.6412213740458015	partial	CL00001	2019_Han_Identification_of_P_genome_chromosomes_pAcpCR2	blastn-short	oligo	blastn-short
223.0	16.4	100.0	8.0	131.0	273.0	21	15	0.16030534351145037	0.054945054945054944	0.16030534351145037	weak	CL00001	2019_Kroupin_Development_of_new_cytogenetic_markers_for_Thinopyrum_ponticum_P170	blastn-short	oligo	blastn-short
57.0	18.3	100.0	9.0	131.0	295.0	9	9	0.06870229007633588	0.030508474576271188	0.06870229007633588	weak	CL00001	2019_Kroupin_Development_of_new_cytogenetic_markers_for_Thinopyrum_ponticum_P720	blastn-short	oligo	blastn-short
1.6e-08	50.1	91.892	37.0	131.0	45.0	37	37	0.2824427480916031	0.8222222222222222	0.8222222222222222	composite	CL00001	2019_Lang_Genome-Wide_Distribution_oligo-pSc119.2_by_Tang_et_al._(2014)	blastn-short	oligo	blastn-short
3.37e-31	125.0	87.023	131.0	131.0	504.0	131	459	1.0	0.9107142857142857	1.0	near-full	CL00001	2019_Li_Characterization_Of_A_Wheat_pSc119.2	blastn-short	oligo	blastn-short
882.0	14.4	100.0	7.0	131.0	40.0	7	7	0.05343511450381679	0.175	0.175	weak	CL00001	2019_Li_Comparative_FISH_and_molecular_identification_oligo-6H-2-100	blastn-short	oligo	blastn-short
1.6e-08	50.1	91.892	37.0	131.0	45.0	37	37	0.2824427480916031	0.8222222222222222	0.8222222222222222	composite	CL00001	2019_Li_Comparative_FISH_and_molecular_identification_oligo-pSc119.2_by_Tang_et_al._(2014)	blastn-short	oligo	blastn-short
223.0	16.4	100.0	8.0	131.0	58.0	8	8	0.061068702290076333	0.13793103448275862	0.13793103448275862	weak	CL00001	2019_Li_Comparative_FISH_and_molecular_identification_oligo-pSt122	blastn-short	oligo	blastn-short
882.0	14.4	100.0	7.0	131.0	228.0	28	28	0.21374045801526717	0.12280701754385964	0.21374045801526717	weak	CL00001	2019_Liu_Development_and_Application_of_Transposable_S13	blastn-short	oligo	blastn-short
57.0	18.3	100.0	9.0	131.0	537.0	55	61	0.4198473282442748	0.11359404096834265	0.4198473282442748	weak	CL00001	2019_Liu_Development_and_Application_of_Transposable_S158	blastn-short	oligo	blastn-short
223.0	16.4	100.0	8.0	131.0	294.0	22	22	0.16793893129770993	0.07482993197278912	0.16793893129770993	weak	CL00001	2019_Liu_Development_and_Application_of_Transposable_S159	blastn-short	oligo	blastn-short
57.0	18.3	100.0	9.0	131.0	229.0	23	16	0.17557251908396945	0.06986899563318777	0.17557251908396945	weak	CL00001	2019_Liu_Development_and_Application_of_Transposable_S166	blastn-short	oligo	blastn-short
57.0	18.3	100.0	9.0	131.0	255.0	19	24	0.1450381679389313	0.09411764705882353	0.1450381679389313	weak	CL00001	2019_Liu_Development_and_Application_of_Transposable_S17	blastn-short	oligo	blastn-short
882.0	14.4	100.0	7.0	131.0	322.0	14	14	0.10687022900763359	0.043478260869565216	0.10687022900763359	weak	CL00001	2019_Liu_Development_and_Application_of_Transposable_S170	blastn-short	oligo	blastn-short
882.0	14.4	100.0	7.0	131.0	282.0	14	14	0.10687022900763359	0.04964539007092199	0.10687022900763359	weak	CL00001	2019_Liu_Development_and_Application_of_Transposable_S175	blastn-short	oligo	blastn-short
223.0	16.4	100.0	8.0	131.0	308.0	40	40	0.3053435114503817	0.12987012987012986	0.3053435114503817	weak	CL00001	2019_Liu_Development_and_Application_of_Transposable_S21	blastn-short	oligo	blastn-short
1.6e-08	50.1	91.892	37.0	131.0	45.0	37	37	0.2824427480916031	0.8222222222222222	0.8222222222222222	composite	CL00001	2019_Singh_Molecular_cytogenetic_identification_of_a_wheat_oligo-pSc119.2-1_by_Tang_et_al._(2014)	blastn-short	oligo	blastn-short
223.0	16.4	100.0	8.0	131.0	45.0	8	8	0.061068702290076333	0.17777777777777778	0.17777777777777778	weak	CL00001	2019_Wang_Diversified_Chromosome_Rearrangements_oligo-B11	blastn-short	oligo	blastn-short
1.6e-08	50.1	91.892	37.0	131.0	45.0	37	37	0.2824427480916031	0.8222222222222222	0.8222222222222222	composite	CL00001	2019_Wang_Diversified_Chromosome_Rearrangements_oligo-pSc119.2_by_Tang_et_al._(2014)	blastn-short	oligo	blastn-short
223.0	16.4	100.0	8.0	131.0	45.0	8	8	0.061068702290076333	0.17777777777777778	0.17777777777777778	weak	CL00001	2019_Xi_New_ND-FISH-Positive_Oligo_Probes_oligo-B11	blastn-short	oligo	blastn-short
1.6e-08	50.1	91.892	37.0	131.0	45.0	37	37	0.2824427480916031	0.8222222222222222	0.8222222222222222	composite	CL00001	2019_Xi_New_ND-FISH-Positive_Oligo_Probes_oligo-pSc119.2-1_by_Tang_et_al._(2014)	blastn-short	oligo	blastn-short
223.0	16.4	100.0	8.0	131.0	45.0	8	8	0.061068702290076333	0.17777777777777778	0.17777777777777778	weak	CL00001	2019_Yu_Characterization_of_Chromosomal_Rearrangement_in_oligo-B11	blastn-short	oligo	blastn-short
1.6e-08	50.1	91.892	37.0	131.0	45.0	37	37	0.2824427480916031	0.8222222222222222	0.8222222222222222	composite	CL00001	2019_Yu_Characterization_of_Chromosomal_Rearrangement_in_oligo-pSc119.2_by_Tang_et_al._(2014)	blastn-short	oligo	blastn-short
